"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Striated Heron","Butorides striata",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Black-crowned Night-Heron","Nycticorax nycticorax","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Glossy Ibis","Plegadis falcinellus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Black-headed Ibis","Threskiornis melanocephalus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Red-naped Ibis","Pseudibis papillosa","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Eurasian Spoonbill","Platalea leucorodia",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Osprey","Pandion haliaetus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Black-winged Kite","Elanus caeruleus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Egyptian Vulture","Neophron percnopterus","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Oriental Honey-buzzard","Pernis ptilorhynchus","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Jerdon's Baza","Aviceda jerdoni",NA,NA,NA,"Kaziranga",NA
"Red-headed Vulture","Sarcogyps calvus",NA,NA,NA,"Kaziranga","Bharatpur"
"Cinereous Vulture","Aegypius monachus",NA,NA,NA,"Kaziranga","Bharatpur"
"White-rumped Vulture","Gyps bengalensis",NA,NA,NA,"Kaziranga","Bharatpur"
"Indian Vulture","Gyps indicus",NA,NA,NA,NA,"Bharatpur"
"Slender-billed Vulture","Gyps tenuirostris",NA,NA,NA,"Kaziranga",NA
"Himalayan Griffon","Gyps himalayensis",NA,NA,NA,"Kaziranga","Bharatpur"
"Eurasian Griffon","Gyps fulvus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Crested Serpent-Eagle","Spilornis cheela",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Short-toed Snake-Eagle","Circaetus gallicus",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Changeable Hawk-Eagle","Nisaetus cirrhatus",NA,"Sundarbans",NA,"Kaziranga",NA
"Rufous-bellied Eagle","Lophotriorchis kienerii",NA,NA,NA,"Kaziranga",NA
"Black Eagle","Ictinaetus malaiensis",NA,"Sundarbans",NA,"Kaziranga",NA
"Indian Spotted Eagle","Clanga hastata",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Greater Spotted Eagle","Clanga clanga",NA,NA,NA,"Kaziranga","Bharatpur"
"Booted Eagle","Hieraaetus pennatus",NA,"Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Tawny Eagle","Aquila rapax",NA,NA,NA,NA,"Bharatpur"
"Steppe Eagle","Aquila nipalensis",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Imperial Eagle","Aquila heliaca",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Bonelli's Eagle","Aquila fasciata",NA,NA,NA,NA,"Bharatpur"
"White-eyed Buzzard","Butastur teesa",NA,"Sundarbans",NA,NA,"Bharatpur"
"Eurasian Marsh-Harrier","Circus aeruginosus",NA,"Sundarbans",NA,NA,"Bharatpur"
"Eastern Marsh-Harrier","Circus spilonotus",NA,"Sundarbans",NA,NA,NA
"Hen Harrier","Circus cyaneus",NA,NA,NA,"Kaziranga","Bharatpur"
"Pallid Harrier","Circus macrourus",NA,NA,NA,NA,"Bharatpur"
"Pied Harrier","Circus melanoleucos",NA,"Sundarbans",NA,"Kaziranga",NA
"Montagu's Harrier","Circus pygargus",NA,NA,NA,NA,"Bharatpur"
"Crested Goshawk","Accipiter trivirgatus",NA,NA,NA,"Kaziranga",NA
"Shikra","Accipiter badius","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Eurasian Sparrowhawk","Accipiter nisus",NA,NA,NA,"Kaziranga","Bharatpur"
"Black Kite","Milvus migrans","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Brahminy Kite","Haliastur indus",NA,"Sundarbans",NA,NA,"Bharatpur"
"White-tailed Eagle","Haliaeetus albicilla",NA,NA,NA,"Kaziranga","Bharatpur"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus",NA,NA,NA,"Kaziranga","Bharatpur"
"White-bellied Sea-Eagle","Haliaeetus leucogaster",NA,"Sundarbans",NA,NA,NA
"Lesser Fish-Eagle","Haliaeetus humilis",NA,NA,NA,"Kaziranga",NA
"Common Buzzard","Buteo buteo",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Himalayan Buzzard","Buteo refectus",NA,NA,NA,"Kaziranga",NA
"Long-legged Buzzard","Buteo rufinus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Barn Owl","Tyto alba",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Indian Scops-Owl","Otus bakkamoena",NA,NA,NA,NA,"Bharatpur"
"Collared Scops-Owl","Otus lettia",NA,"Sundarbans",NA,"Kaziranga",NA
"Oriental Scops-Owl","Otus sunia",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Dusky Eagle-Owl","Ketupa coromandus",NA,NA,"Taj Mahal","Kaziranga","Bharatpur"
"Brown Fish-Owl","Ketupa zeylonensis",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Buffy Fish-Owl","Ketupa ketupu",NA,"Sundarbans",NA,NA,NA
"Asian Barred Owlet","Glaucidium cuculoides",NA,NA,NA,"Kaziranga",NA
"Jungle Owlet","Glaucidium radiatum",NA,NA,"Taj Mahal",NA,"Bharatpur"
"Collared Owlet","Taenioptynx brodiei",NA,NA,NA,"Kaziranga",NA
"Spotted Owlet","Athene brama","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Short-eared Owl","Asio flammeus",NA,NA,NA,NA,"Bharatpur"
"Brown Boobook","Ninox scutulata",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Eurasian Hoopoe","Upupa epops","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Great Hornbill","Buceros bicornis",NA,NA,NA,"Kaziranga",NA
"Indian Gray Hornbill","Ocyceros birostris","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Oriental Pied-Hornbill","Anthracoceros albirostris",NA,NA,NA,"Kaziranga",NA
