eBird.Code,eBird.English.Name.2023,eBird.Scientific.Name.2023,Order,Family
rubfly2,Rufous-breasted Flycatcher,Leptopogon rufipectus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
incfly1,Inca Flycatcher,Leptopogon taczanowskii,Passeriformes,Tyrannidae (Tyrant Flycatchers)
sdmtyr2,Serra do Mar Bristle-Tyrant,Pogonotriccus difficilis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
sobtyr2,Southern Bristle-Tyrant,Pogonotriccus eximius,Passeriformes,Tyrannidae (Tyrant Flycatchers)
mfbtyr1,Marble-faced Bristle-Tyrant,Pogonotriccus ophthalmicus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
anbtyr1,Antioquia Bristle-Tyrant,Pogonotriccus lanyoni,Passeriformes,Tyrannidae (Tyrant Flycatchers)
saptyr1,Sao Paulo Bristle-Tyrant,Pogonotriccus paulista,Passeriformes,Tyrannidae (Tyrant Flycatchers)
vabtyr1,Variegated Bristle-Tyrant,Pogonotriccus poecilotis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
vebtyr2,Venezuelan Bristle-Tyrant,Pogonotriccus venezuelanus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
spbtyr1,Spectacled Bristle-Tyrant,Pogonotriccus orbitalis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
chabrt1,Chapman's Bristle-Tyrant,Pogonotriccus chapmani,Passeriformes,Tyrannidae (Tyrant Flycatchers)
oustyr1,Oustalet's Tyrannulet,Phylloscartes oustaleti,Passeriformes,Tyrannidae (Tyrant Flycatchers)
yegtyr1,Yellow-green Tyrannulet,Phylloscartes flavovirens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
olgtyr1,Olive-green Tyrannulet,Phylloscartes virescens,Passeriformes,Tyrannidae (Tyrant Flycatchers)
moctyr2,Mottle-cheeked Tyrannulet,Phylloscartes ventralis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bahtyr1,Bahia Tyrannulet,Phylloscartes beckeri,Passeriformes,Tyrannidae (Tyrant Flycatchers)
restyr1,Restinga Tyrannulet,Phylloscartes kronei,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bartyr1,Bay-ringed Tyrannulet,Phylloscartes sylviolus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
alatyr1,Alagoas Tyrannulet,Phylloscartes ceciliae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
migtyr1,Minas Gerais Tyrannulet,Phylloscartes roquettei,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rubtyr1,Rufous-browed Tyrannulet,Phylloscartes superciliaris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
blftyr1,Black-fronted Tyrannulet,Phylloscartes nigrifrons,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rultyr1,Rufous-lored Tyrannulet,Phylloscartes flaviventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ecutyr1,Ecuadorian Tyrannulet,Phylloscartes gualaquizae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
ciftyr1,Cinnamon-faced Tyrannulet,Phylloscartes parkeri,Passeriformes,Tyrannidae (Tyrant Flycatchers)
boptyr1,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni,Passeriformes,Tyrannidae (Tyrant Flycatchers)
hfptyr1,Hazel-fronted Pygmy-Tyrant,Pseudotriccus simplex,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rhptyr1,Rufous-headed Pygmy-Tyrant,Pseudotriccus ruficeps,Passeriformes,Tyrannidae (Tyrant Flycatchers)
rinant2,Ringed Antpipit,Corythopis torquatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
souant1,Southern Antpipit,Corythopis delalandi,Passeriformes,Tyrannidae (Tyrant Flycatchers)
eaptyr1,Eared Pygmy-Tyrant,Myiornis auricularis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
wbptyr1,White-bellied Pygmy-Tyrant,Myiornis albiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bcptyr1,Black-capped Pygmy-Tyrant,Myiornis atricapillus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
stptyr1,Short-tailed Pygmy-Tyrant,Myiornis ecaudatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
scptyr1,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
dbptyr1,Double-banded Pygmy-Tyrant,Lophotriccus vitiosus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
lcptyr1,Long-crested Pygmy-Tyrant,Lophotriccus eulophotes,Passeriformes,Tyrannidae (Tyrant Flycatchers)
heptyr1,Helmeted Pygmy-Tyrant,Lophotriccus galeatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
peptyr1,Pale-eyed Pygmy-Tyrant,Atalotriccus pilaris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
norben1,Northern Bentbill,Oncostoma cinereigulare,Passeriformes,Tyrannidae (Tyrant Flycatchers)
souben1,Southern Bentbill,Oncostoma olivaceum,Passeriformes,Tyrannidae (Tyrant Flycatchers)
snttyr1,Snethlage's Tody-Tyrant,Hemitriccus minor,Passeriformes,Tyrannidae (Tyrant Flycatchers)
yuttyr1,Yungas Tody-Tyrant,Hemitriccus spodiops,Passeriformes,Tyrannidae (Tyrant Flycatchers)
acrtot1,Acre Tody-Tyrant,Hemitriccus cohnhafti,Passeriformes,Tyrannidae (Tyrant Flycatchers)
flapyt1,Flammulated Pygmy-Tyrant,Hemitriccus flammulatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
drbpyt1,Drab-breasted Pygmy-Tyrant,Hemitriccus diops,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bnbpyt1,Brown-breasted Pygmy-Tyrant,Hemitriccus obsoletus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
bbttyr1,Boat-billed Tody-Tyrant,Hemitriccus josephinae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
wettyr1,White-eyed Tody-Tyrant,Hemitriccus zosterops,Passeriformes,Tyrannidae (Tyrant Flycatchers)
whbtot1,White-bellied Tody-Tyrant,Hemitriccus griseipectus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
erttyr1,Eye-ringed Tody-Tyrant,Hemitriccus orbitatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
jottyr1,Johannes's Tody-Tyrant,Hemitriccus iohannis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
snttyr2,Stripe-necked Tody-Tyrant,Hemitriccus striaticollis,Passeriformes,Tyrannidae (Tyrant Flycatchers)
