eBird.English.Name.2023,eBird.Scientific.Name.2023,eBird.Code,Order,Family
Black-bellied Sandgrouse,Pterocles orientalis,blbsan1,Pterocliformes,Pteroclidae (Sandgrouse)
Painted Sandgrouse,Pterocles indicus,paisan1,Pterocliformes,Pteroclidae (Sandgrouse)
Great Indian Bustard,Ardeotis nigriceps,indbus1,Otidiformes,Otididae (Bustards)
Macqueen's Bustard,Chlamydotis macqueenii,macbus1,Otidiformes,Otididae (Bustards)
Bengal Florican,Houbaropsis bengalensis,benflo2,Otidiformes,Otididae (Bustards)
Lesser Florican,Sypheotides indicus,lesflo2,Otidiformes,Otididae (Bustards)
Little Bustard,Tetrax tetrax,litbus1,Otidiformes,Otididae (Bustards)
Andaman Coucal,Centropus andamanensis,andcou1,Cuculiformes,Cuculidae (Cuckoos)
Greater Coucal,Centropus sinensis,grecou1,Cuculiformes,Cuculidae (Cuckoos)
Lesser Coucal,Centropus bengalensis,lescou1,Cuculiformes,Cuculidae (Cuckoos)
Sirkeer Malkoha,Taccocua leschenaultii,sirmal1,Cuculiformes,Cuculidae (Cuckoos)
Blue-faced Malkoha,Phaenicophaeus viridirostris,blfmal1,Cuculiformes,Cuculidae (Cuckoos)
Green-billed Malkoha,Phaenicophaeus tristis,grbmal1,Cuculiformes,Cuculidae (Cuckoos)
Chestnut-winged Cuckoo,Clamator coromandus,chwcuc1,Cuculiformes,Cuculidae (Cuckoos)
Pied Cuckoo,Clamator jacobinus,piecuc1,Cuculiformes,Cuculidae (Cuckoos)
Asian Koel,Eudynamys scolopaceus,asikoe2,Cuculiformes,Cuculidae (Cuckoos)
Asian Emerald Cuckoo,Chrysococcyx maculatus,asecuc1,Cuculiformes,Cuculidae (Cuckoos)
Violet Cuckoo,Chrysococcyx xanthorhynchus,viocuc1,Cuculiformes,Cuculidae (Cuckoos)
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,hobcuc1,Cuculiformes,Cuculidae (Cuckoos)
Banded Bay Cuckoo,Cacomantis sonneratii,babcuc2,Cuculiformes,Cuculidae (Cuckoos)
Plaintive Cuckoo,Cacomantis merulinus,placuc1,Cuculiformes,Cuculidae (Cuckoos)
Gray-bellied Cuckoo,Cacomantis passerinus,placuc3,Cuculiformes,Cuculidae (Cuckoos)
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,asidrc2,Cuculiformes,Cuculidae (Cuckoos)
Square-tailed Drongo-Cuckoo,Surniculus lugubris,asidrc3,Cuculiformes,Cuculidae (Cuckoos)
Large Hawk-Cuckoo,Hierococcyx sparverioides,larhac2,Cuculiformes,Cuculidae (Cuckoos)
Common Hawk-Cuckoo,Hierococcyx varius,cohcuc1,Cuculiformes,Cuculidae (Cuckoos)
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,hodhac1,Cuculiformes,Cuculidae (Cuckoos)
Lesser Cuckoo,Cuculus poliocephalus,lescuc1,Cuculiformes,Cuculidae (Cuckoos)
Indian Cuckoo,Cuculus micropterus,indcuc1,Cuculiformes,Cuculidae (Cuckoos)
Himalayan Cuckoo,Cuculus saturatus,himcuc1,Cuculiformes,Cuculidae (Cuckoos)
Common Cuckoo,Cuculus canorus,comcuc,Cuculiformes,Cuculidae (Cuckoos)
Sri Lanka Frogmouth,Batrachostomus moniliger,ceyfro1,Caprimulgiformes,Podargidae (Frogmouths)
Hodgson's Frogmouth,Batrachostomus hodgsoni,hodfro1,Caprimulgiformes,Podargidae (Frogmouths)
Great Eared-Nightjar,Lyncornis macrotis,grenig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Jungle Nightjar,Caprimulgus indicus,grynig2,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Gray Nightjar,Caprimulgus jotaka,grynig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Eurasian Nightjar,Caprimulgus europaeus,eurnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Sykes's Nightjar,Caprimulgus mahrattensis,syknig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Large-tailed Nightjar,Caprimulgus macrurus,latnig2,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Andaman Nightjar,Caprimulgus andamanicus,andnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Jerdon's Nightjar,Caprimulgus atripennis,jernig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Indian Nightjar,Caprimulgus asiaticus,indnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Savanna Nightjar,Caprimulgus affinis,savnig1,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
White-rumped Spinetail,Zoonavena sylvatica,whrnee1,Caprimulgiformes,Apodidae (Swifts)
White-throated Needletail,Hirundapus caudacutus,whtnee,Caprimulgiformes,Apodidae (Swifts)
Silver-backed Needletail,Hirundapus cochinchinensis,sibnee1,Caprimulgiformes,Apodidae (Swifts)
Brown-backed Needletail,Hirundapus giganteus,brbnee1,Caprimulgiformes,Apodidae (Swifts)
Plume-toed Swiftlet,Collocalia affinis,pltswi1,Caprimulgiformes,Apodidae (Swifts)
Indian Swiftlet,Aerodramus unicolor,indswi1,Caprimulgiformes,Apodidae (Swifts)
Himalayan Swiftlet,Aerodramus brevirostris,himswi2,Caprimulgiformes,Apodidae (Swifts)
White-nest Swiftlet,Aerodramus fuciphagus,ednswi1,Caprimulgiformes,Apodidae (Swifts)
Alpine Swift,Tachymarptis melba,alpswi1,Caprimulgiformes,Apodidae (Swifts)
Common Swift,Apus apus,comswi,Caprimulgiformes,Apodidae (Swifts)
Pacific Swift,Apus pacificus,fotswi,Caprimulgiformes,Apodidae (Swifts)
Blyth's Swift,Apus leuconyx,blyswi1,Caprimulgiformes,Apodidae (Swifts)
Dark-rumped Swift,Apus acuticauda,darswi1,Caprimulgiformes,Apodidae (Swifts)
Little Swift,Apus affinis,litswi1,Caprimulgiformes,Apodidae (Swifts)
House Swift,Apus nipalensis,houswi1,Caprimulgiformes,Apodidae (Swifts)
Asian Palm Swift,Cypsiurus balasiensis,aspswi1,Caprimulgiformes,Apodidae (Swifts)
Crested Treeswift,Hemiprocne coronata,cretre1,Caprimulgiformes,Hemiprocnidae (Treeswifts)
Water Rail,Rallus aquaticus,watrai1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Brown-cheeked Rail,Rallus indicus,bncrai1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Corn Crake,Crex crex,corcra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Slaty-breasted Rail,Lewinia striata,slbrai1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Spotted Crake,Porzana porzana,spocra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Eurasian Moorhen,Gallinula chloropus,commoo3,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Eurasian Coot,Fulica atra,eurcoo,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Gray-headed Swamphen,Porphyrio poliocephalus,purswa3,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
White-browed Crake,Poliolimnas cinereus,whbcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Watercock,Gallicrex cinerea,waterc1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
White-breasted Waterhen,Amaurornis phoenicurus,whbwat1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Andaman Crake,Rallina canningi,andcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Red-legged Crake,Rallina fasciata,relcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Slaty-legged Crake,Rallina eurizonoides,sllcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Ruddy-breasted Crake,Zapornia fusca,rubcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Band-bellied Crake,Zapornia paykullii,babcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Brown Crake,Zapornia akool,brocra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Little Crake,Zapornia parva,litcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Baillon's Crake,Zapornia pusilla,baicra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Black-tailed Crake,Zapornia bicolor,bltcra1,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Masked Finfoot,Heliopais personatus,masfin3,Gruiformes,Heliornithidae (Finfoots)
Demoiselle Crane,Anthropoides virgo,demcra1,Gruiformes,Gruidae (Cranes)
Siberian Crane,Leucogeranus leucogeranus,sibcra1,Gruiformes,Gruidae (Cranes)
Sarus Crane,Antigone antigone,sarcra1,Gruiformes,Gruidae (Cranes)
Common Crane,Grus grus,comcra,Gruiformes,Gruidae (Cranes)
Black-necked Crane,Grus nigricollis,blncra1,Gruiformes,Gruidae (Cranes)
Great Thick-knee,Esacus recurvirostris,grtkne1,Charadriiformes,Burhinidae (Thick-knees)
Beach Thick-knee,Esacus magnirostris,beathk1,Charadriiformes,Burhinidae (Thick-knees)
Indian Thick-knee,Burhinus indicus,indthk1,Charadriiformes,Burhinidae (Thick-knees)
Black-winged Stilt,Himantopus himantopus,bkwsti,Charadriiformes,Recurvirostridae (Stilts and Avocets)
Pied Avocet,Recurvirostra avosetta,pieavo1,Charadriiformes,Recurvirostridae (Stilts and Avocets)
Ibisbill,Ibidorhyncha struthersii,ibisbi1,Charadriiformes,Ibidorhynchidae (Ibisbill)
Eurasian Oystercatcher,Haematopus ostralegus,euroys1,Charadriiformes,Haematopodidae (Oystercatchers)
Black-bellied Plover,Pluvialis squatarola,bkbplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
European Golden-Plover,Pluvialis apricaria,eugplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
American Golden-Plover,Pluvialis dominica,amgplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
Pacific Golden-Plover,Pluvialis fulva,pagplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
Common Ringed Plover,Charadrius hiaticula,corplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
Little Ringed Plover,Charadrius dubius,lirplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
Long-billed Plover,Charadrius placidus,lobplo1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Northern Lapwing,Vanellus vanellus,norlap,Charadriiformes,Charadriidae (Plovers and Lapwings)
Spur-winged Lapwing,Vanellus spinosus,spwlap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
River Lapwing,Vanellus duvaucelii,rivlap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Yellow-wattled Lapwing,Vanellus malabaricus,yewlap2,Charadriiformes,Charadriidae (Plovers and Lapwings)
Gray-headed Lapwing,Vanellus cinereus,gyhlap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Red-wattled Lapwing,Vanellus indicus,rewlap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Sociable Lapwing,Vanellus gregarius,soclap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
White-tailed Lapwing,Vanellus leucurus,whtlap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Caspian Plover,Anarhynchus asiaticus,casplo1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Oriental Plover,Anarhynchus veredus,oriplo1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Tibetan Sand-Plover,Anarhynchus atrifrons,lessap1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Greater Sand-Plover,Anarhynchus leschenaultii,grsplo,Charadriiformes,Charadriidae (Plovers and Lapwings)
Kentish Plover,Anarhynchus alexandrinus,kenplo1,Charadriiformes,Charadriidae (Plovers and Lapwings)
Greater Painted-Snipe,Rostratula benghalensis,grpsni1,Charadriiformes,Rostratulidae (Painted-Snipes)
Pheasant-tailed Jacana,Hydrophasianus chirurgus,phtjac1,Charadriiformes,Jacanidae (Jacanas)
Bronze-winged Jacana,Metopidius indicus,brwjac1,Charadriiformes,Jacanidae (Jacanas)
Whimbrel,Numenius phaeopus,whimbr,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Eurasian Curlew,Numenius arquata,eurcur,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Bar-tailed Godwit,Limosa lapponica,batgod,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Black-tailed Godwit,Limosa limosa,bktgod,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Asian Dowitcher,Limnodromus semipalmatus,asidow1,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Long-billed Dowitcher,Limnodromus scolopaceus,lobdow,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Jack Snipe,Lymnocryptes minimus,jacsni,Charadriiformes,Scolopacidae (Sandpipers and Allies)
