eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Fire-breasted Flowerpecker,Fire-breasted Flowerpecker,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Fire-breasted Flowerpecker,Dicaeum ignipectus,
Scarlet-backed Flowerpecker,Scarlet-backed Flowerpecker,Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Scarlet-backed Flowerpecker,Dicaeum cruentatum,
Ruby-cheeked Sunbird,Ruby-cheeked Sunbird,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Ruby-cheeked Sunbird,Chalcoparia singalensis,
Purple-rumped Sunbird,Purple-rumped Sunbird,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Non-specialized,Resident,NA,NA,NA,Purple-rumped Sunbird,Leptocoma zeylonica,
Crimson-backed Sunbird,Crimson-backed Sunbird,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Crimson-backed Sunbird,Leptocoma minima,
Van Hasselt's Sunbird,Van Hasselt's Sunbird,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Van Hasselt's Sunbird,Leptocoma brasiliana,
Purple Sunbird,Purple Sunbird,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident & Local Migrant,NA,NA,NA,Purple Sunbird,Cinnyris asiaticus,
Olive-backed Sunbird,Ornate Sunbird,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,1,Olive-backed Sunbird,Cinnyris jugularis,
Loten's Sunbird,Loten's Sunbird,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Loten's Sunbird,Cinnyris lotenius,
Fire-tailed Sunbird,Fire-tailed Sunbird,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Fire-tailed Sunbird,Aethopyga ignicauda,
Black-throated Sunbird,Black-throated Sunbird,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Black-throated Sunbird,Aethopyga saturata,
Mrs. Gould's Sunbird,Mrs. Gould's Sunbird,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Mrs Gould's Sunbird,Aethopyga gouldiae,
Green-tailed Sunbird,Green-tailed Sunbird,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Green-tailed Sunbird,Aethopyga nipalensis,
Vigors's Sunbird,Vigors's Sunbird,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Western Ghats,Non-specialized,Resident,NA,NA,NA,Vigors's Sunbird,Aethopyga vigorsii,
Crimson Sunbird,Crimson Sunbird,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Crimson Sunbird,Aethopyga siparaja,
Little Spiderhunter,Little Spiderhunter,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Little Spiderhunter,Arachnothera longirostra,
Streaked Spiderhunter,Streaked Spiderhunter,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Streaked Spiderhunter,Arachnothera magna,
Asian Fairy-bluebird,Asian Fairy-bluebird,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Asian Fairy-bluebird,Irena puella,
Blue-winged Leafbird,Blue-winged Leafbird,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Blue-winged Leafbird,Chloropsis cochinchinensis,
Jerdon's Leafbird,Jerdon's Leafbird,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Jerdon's Leafbird,Chloropsis jerdoni,
Golden-fronted Leafbird,Golden-fronted Leafbird,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Golden-fronted Leafbird,Chloropsis aurifrons,
Orange-bellied Leafbird,Orange-bellied Leafbird,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Orange-bellied Leafbird,Chloropsis hardwickii,
Streaked Weaver,Streaked Weaver,Moderate,Uncertain,Strong Decline,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Wetland,Resident,1,NA,NA,Streaked Weaver,Ploceus manyar,
Baya Weaver,Baya Weaver,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Baya Weaver,Ploceus philippinus,
Finn's Weaver,Finn's Weaver,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,NA,NA,NA,Finn's Weaver,Ploceus megarhynchus,
