eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Green Shrike-Babbler,Green Shrike-Babbler,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Green Shrike-babbler,Pteruthius xanthochlorus,
Black-eared Shrike-Babbler,Black-eared Shrike-Babbler,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Black-eared Shrike-babbler,Pteruthius melanotis,
Clicking Shrike-Babbler,Clicking Shrike-Babbler,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Uncertain,NA,1,NA,Clicking Shrike-babbler,Pteruthius intermedius,
White-bellied Erpornis,White-bellied Erpornis,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,White-bellied Erpornis,Erpornis zantholeuca,
Mangrove Whistler,Mangrove Whistler,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Mangrove Whistler,Pachycephala cinerea,
Eurasian Golden Oriole,Eurasian Golden Oriole,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Eurasian Golden Oriole,Oriolus oriolus,
Indian Golden Oriole,Indian Golden Oriole,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Within-India Migrant,1,NA,NA,Indian Golden Oriole,Oriolus kundoo,
Black-naped Oriole,Black-naped Oriole,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Black-naped Oriole,Oriolus chinensis,
Slender-billed Oriole,Slender-billed Oriole,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant & Localized Winter Migrant,1,NA,NA,Slender-billed Oriole,Oriolus tenuirostris,
Black-hooded Oriole,Black-hooded Oriole,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Black-hooded Oriole,Oriolus xanthornus,
Maroon Oriole,Maroon Oriole,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Maroon Oriole,Oriolus traillii,
Ashy Woodswallow,Ashy Woodswallow,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Ashy Woodswallow,Artamus fuscus,
White-breasted Woodswallow,White-breasted Woodswallow,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,1,White-breasted Woodswallow,Artamus leucorynchus,
Malabar Woodshrike,Malabar Woodshrike,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Malabar Woodshrike,Tephrodornis sylvicola,
Large Woodshrike,Large Woodshrike,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Large Woodshrike,Tephrodornis virgatus,
Common Woodshrike,Common Woodshrike,High,Strong Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Common Woodshrike,Tephrodornis pondicerianus,
Bar-winged Flycatcher-shrike,Bar-winged Flycatcher-shrike,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Bar-winged Flycatcher-shrike,Hemipus picatus,
Common Iora,Common Iora,Moderate,Moderate Decline,Moderate Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Common Iora,Aegithina tiphia,
White-tailed Iora,White-tailed Iora,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Marshall's Iora,Aegithina nigrolutea,
White-throated Fantail,White-throated Fantail,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,White-throated Fantail,Rhipidura albicollis,
Spot-breasted Fantail,Spot-breasted Fantail,Low,Uncertain,Strong Increase,Large,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Spot-breasted Fantail,Rhipidura albogularis,
White-browed Fantail,White-browed Fantail,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,White-browed Fantail,Rhipidura aureola,
Black Drongo,Black Drongo,Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Resident & Local Migrant,NA,NA,NA,Black Drongo,Dicrurus macrocercus,
Ashy Drongo,Ashy Drongo,Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Within-India Migrant,NA,NA,NA,Ashy Drongo,Dicrurus leucophaeus,
White-bellied Drongo,White-bellied Drongo,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,White-bellied Drongo,Dicrurus caerulescens,
Crow-billed Drongo,Crow-billed Drongo,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Crow-billed Drongo,Dicrurus annectens,
Bronzed Drongo,Bronzed Drongo,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Bronzed Drongo,Dicrurus aeneus,
Lesser Racket-tailed Drongo,Lesser Racket-tailed Drongo,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Lesser Racket-tailed Drongo,Dicrurus remifer,
Hair-crested Drongo,Hair-crested Drongo,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest & Plantation,Resident & Winter Migrant,NA,NA,NA,Hair-crested Drongo,Dicrurus hottentottus,
Andaman Drongo,Andaman Drongo,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Drongo,Dicrurus andamanensis,
Greater Racket-tailed Drongo,Greater Racket-tailed Drongo,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Greater Racket-tailed Drongo,Dicrurus paradiseus,
Black-naped Monarch,Black-naped Monarch,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Within-India Migrant,NA,NA,NA,Black-naped Monarch,Hypothymis azurea,
Amur Paradise-Flycatcher,Amur Paradise-Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Winter Migrant,NA,1,NA,Amur Paradise-flycatcher,Terpsiphone incei,
Blyth's Paradise-Flycatcher,Blyth's Paradise-Flycatcher,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,NA,NA,NA,Blyth's Paradise-flycatcher,Terpsiphone affinis,
Indian Paradise-Flycatcher,Indian Paradise-Flycatcher,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Within-India Migrant,1,NA,NA,Indian Paradise-flycatcher,Terpsiphone paradisi,
Red-backed Shrike,Red-backed Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Passage Migrant,NA,NA,NA,Red-backed Shrike,Lanius collurio,
Red-tailed Shrike,Red-tailed Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Passage Migrant,NA,NA,NA,Red-tailed Shrike,Lanius phoenicuroides,
Isabelline Shrike,Isabelline Shrike,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Isabelline Shrike,Lanius isabellinus,
Brown Shrike,Brown Shrike,Low,Stable,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Winter Migrant,NA,NA,NA,Brown Shrike,Lanius cristatus,
Burmese Shrike,Burmese Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Burmese Shrike,Lanius collurioides,
Bay-backed Shrike,Bay-backed Shrike,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Local Migrant,1,NA,NA,Bay-backed Shrike,Lanius vittatus,
Long-tailed Shrike,Long-tailed Shrike,Moderate,Stable,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Within-India Migrant,NA,NA,NA,Long-tailed Shrike,Lanius schach,
Gray-backed Shrike,Gray-backed Shrike,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Grey-backed Shrike,Lanius tephronotus,
Great Gray Shrike,Great Gray Shrike,High,Strong Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Grassland,Resident & Winter Migrant,1,NA,NA,Great Grey Shrike,Lanius excubitor,
Lesser Gray Shrike,Lesser Gray Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland,Uncertain,NA,1,NA,Lesser Grey Shrike,Lanius minor,
Masked Shrike,Masked Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Masked Shrike,Lanius nubicus,
Woodchat Shrike,Woodchat Shrike,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Woodchat Shrike,Lanius senator,
Eurasian Jay,Eurasian Jay,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Eurasian Jay,Garrulus glandarius,
Black-headed Jay,Black-headed Jay,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,Yes,Western Himalayas,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Black-headed Jay,Garrulus lanceolatus,
Yellow-billed Blue-Magpie,Yellow-billed Blue-Magpie,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,Yes,Himalayas,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-billed Blue Magpie,Urocissa flavirostris,
Red-billed Blue-Magpie,Red-billed Blue-Magpie,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Red-billed Blue Magpie,Urocissa erythroryncha,
Common Green-Magpie,Common Green-Magpie,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Common Green Magpie,Cissa chinensis,
Rufous Treepie,Rufous Treepie,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Rufous Treepie,Dendrocitta vagabunda,
Gray Treepie,Gray Treepie,Low,Uncertain,Strong Increase,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Grey Treepie,Dendrocitta formosae,
White-bellied Treepie,White-bellied Treepie,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,White-bellied Treepie,Dendrocitta leucogastra,
Collared Treepie,Collared Treepie,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Collared Treepie,Dendrocitta frontalis,
Andaman Treepie,Andaman Treepie,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Andaman Islands,Forest,Resident,NA,NA,1,Andaman Treepie,Dendrocitta bayleii,
Black-rumped Magpie,Black-rumped Magpie,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Uncertain,NA,NA,NA,Black-rumped Magpie,Pica bottanensis,
Eurasian Magpie,Eurasian Magpie,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Eurasian Magpie,Pica pica,
Eurasian Nutcracker,Eurasian Nutcracker,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Spotted Nutcracker,Nucifraga caryocatactes,
Kashmir Nutcracker,Kashmir Nutcracker,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Western Himalayas,Forest,Resident,NA,NA,NA,Kashmir Nutcracker,Nucifraga multipunctata,
Red-billed Chough,Red-billed Chough,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Red-billed Chough,Pyrrhocorax pyrrhocorax,
Yellow-billed Chough,Yellow-billed Chough,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-billed Chough,Pyrrhocorax graculus,
Eurasian Jackdaw,Eurasian Jackdaw,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Eurasian Jackdaw,Corvus monedula,
House Crow,House Crow,Low,Moderate Increase,Stable,Very Large,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,House Crow,Corvus splendens,
Rook,Rook,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Rook,Corvus frugilegus,
Carrion Crow,Carrion Crow,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Carrion Crow,Corvus corone,
Hooded Crow,Hooded Crow,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Hooded Crow,Corvus cornix,
Large-billed Crow,Large-billed Crow,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Large-billed Crow,Corvus macrorhynchos,
Pied Crow,Pied Crow,NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Pied Crow,Corvus albus,
Common Raven,Common Raven,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,Non-endemic,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Common Raven,Corvus corax,
Yellow-bellied Fairy-Fantail,Yellow-bellied Fairy-Fantail,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-bellied Fantail,Chelidorhynx hypoxanthus,
Gray-headed Canary-Flycatcher,Gray-headed Canary-Flycatcher,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Within-India Migrant,NA,NA,NA,Grey-headed Canary-flycatcher,Culicicapa ceylonensis,
Fire-capped Tit,Fire-capped Tit,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Local Migrant,NA,NA,NA,Fire-capped Tit,Cephalopyrus flammiceps,
Yellow-browed Tit,Yellow-browed Tit,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Yellow-browed Tit,Sylviparus modestus,
Sultan Tit,Sultan Tit,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident,NA,NA,NA,Sultan Tit,Melanochlora sultanea,
Coal Tit,Coal Tit,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Coal Tit,Periparus ater,
Rufous-naped Tit,Rufous-naped Tit,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Rufous-naped Tit,Periparus rufonuchalis,
Rufous-vented Tit,Rufous-vented Tit,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Rufous-vented Tit,Periparus rubidiventris,
Gray-crested Tit,Gray-crested Tit,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,NA,NA,NA,Grey-crested Tit,Lophophanes dichrous,
Azure Tit,Azure Tit,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,Azure Tit,Cyanistes cyanus,
Ground Tit,Ground Tit,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Ground Tit,Pseudopodoces humilis,
Green-backed Tit,Green-backed Tit,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident & Altitudinal Migrant,NA,NA,NA,Green-backed Tit,Parus monticolus,
Cinereous Tit,Cinereous Tit,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Cinereous Tit,Parus cinereus,
White-naped Tit,White-naped Tit,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,White-naped Tit,Machlolophus nuchalis,
Himalayan Black-lored Tit,Himalayan Black-lored Tit,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Himalayas,Forest & Plantation,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Black-lored Tit,Machlolophus xanthogenys,
Indian Yellow Tit,Indian Yellow Tit,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,Yes,Yes,No,Mainland India,Forest & Plantation,Resident,NA,NA,NA,Indian Black-lored Tit,Machlolophus aplonotus,
Yellow-cheeked Tit,Yellow-cheeked Tit,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Yellow-cheeked Tit,Machlolophus spilonotus,
White-crowned Penduline-Tit,White-crowned Penduline-Tit,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant,NA,NA,NA,White-crowned Penduline Tit,Remiz coronatus,
Greater Hoopoe-Lark,Greater Hoopoe-Lark,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland,Resident,NA,NA,NA,Greater Hoopoe Lark,Alaemon alaudipes,
Rufous-tailed Lark,Rufous-tailed Lark,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Rufous-tailed Lark,Ammomanes phoenicura,
Desert Lark,Desert Lark,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Grassland,Resident,NA,NA,NA,Desert Lark,Ammomanes deserti,
Black-crowned Sparrow-Lark,Black-crowned Sparrow-Lark,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Resident,NA,NA,NA,Black-crowned Sparrow Lark,Eremopterix nigriceps,
Ashy-crowned Sparrow-Lark,Ashy-crowned Sparrow-Lark,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Ashy-crowned Sparrow Lark,Eremopterix griseus,
Horsfield's Bushlark,Singing Bushlark,Moderate,Data Deficient,Strong Decline,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Within-India Migrant,1,NA,NA,Singing Bushlark,Mirafra javanica,
Bengal Bushlark,Bengal Bushlark,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Bengal Bushlark,Mirafra assamica,
Jerdon's Bushlark,Jerdon's Bushlark,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Jerdon's Bushlark,Mirafra affinis,
Indian Bushlark,Indian Bushlark,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Indian Bushlark,Mirafra erythroptera,
Horned Lark,Horned Lark,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Horned Lark,Eremophila alpestris,
Greater Short-toed Lark,Greater Short-toed Lark,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Greater Short-toed Lark,Calandrella brachydactyla,
Mongolian Short-toed Lark,Mongolian Short-toed Lark,,,,,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Mongolian Short-toed Lark,Calandrella dukhunensis,
Hume's Lark,Hume's Lark,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,1,NA,NA,Hume's Short-toed Lark,Calandrella acutirostris,
Bimaculated Lark,Bimaculated Lark,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Bimaculated Lark,Melanocorypha bimaculata,
Tibetan Lark,Tibetan Lark,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Lark,Melanocorypha maxima,
Turkestan Short-toed Lark,Turkestan Short-toed Lark,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,1,NA,Turkestan Short-toed Lark,Alaudala heinei,
Sand Lark,Sand Lark,Moderate,Moderate Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Sand Lark,Alaudala raytal,
Eurasian Skylark,Eurasian Skylark,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Eurasian Skylark,Alauda arvensis,
Oriental Skylark,Oriental Skylark,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Open Habitat,Resident & Local Migrant,NA,NA,NA,Oriental Skylark,Alauda gulgula,
Crested Lark,Crested Lark,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Crested Lark,Galerida cristata,
Malabar Lark,Malabar Lark,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Open Habitat,Resident,NA,NA,NA,Malabar Lark,Galerida malabarica,
Tawny Lark,Tawny Lark,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Sykes's Lark,Galerida deva,
Common Tailorbird,Common Tailorbird,Low,Stable,Moderate Increase,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Common Tailorbird,Orthotomus sutorius,
Dark-necked Tailorbird,Dark-necked Tailorbird,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Dark-necked Tailorbird,Orthotomus atrogularis,
Himalayan Prinia,Himalayan Prinia,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Prinia,Prinia crinigera,
Black-throated Prinia,Black-throated Prinia,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Invertebrate,No,No,Yes,Eastern Himalayas,Grassland & Scrub,Resident,NA,NA,NA,Black-throated Prinia,Prinia atrogularis,
Rufous-crowned Prinia,Rufous-crowned Prinia,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Himalayas,Grassland & Scrub,Resident,NA,NA,NA,Rufous-crowned Prinia,Prinia khasiana,
Hill Prinia,Hill Prinia,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Resident,NA,NA,NA,Hill Prinia,Prinia superciliaris,
